en,eng
Hello Shiny!,Hello Shiny!
About,About
Change language, Change language
Data upload,Data upload
Quit,Quit
Parameters,Parameters
PSAE GDX web-tool data exploration,PSAE GDX web-tool data exploration
Login, Login
Password, Password
Connection, Connection
Sign in, Sign in
Logout, Logout
